Title,Author,SecondAuthor,Reason,SecondReason,ThirdReason,Times,NumStates,States,Admin,Formal,Informal
The Poet X,"Acevedo, Elizabeth",,Religion & Politics,Race/Racism,,21,6,Pennsylvania:1/Texas:2/Virginia:1/Florida:10/Iowa:6/North Carolina:1/,17,4,0
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,Violence & Abuse,Religion & Politics,,10,5,Virginia:1/Florida:5/Iowa:1/Maryland:1/Texas:2/,5,4,1
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,Sexual Content & Profantiy,Race/Racism,,57,8,Florida:6/Iowa:44/North Carolina:1/South Carolina:1/Texas:1/Utah:1/Virginia:1/Wisconsin:2/,53,4,1
Shout,"Anderson, Laurie Halse",,Violence & Abuse,Sexual Content & Profantiy,,16,5,Wisconsin:1/Florida:3/Iowa:9/Texas:2/Virginia:1/,13,3,1
Speak,"Anderson, Laurie Halse",,Violence & Abuse,Sexual Content & Profantiy,,42,6,Texas:2/Wisconsin:1/Florida:6/Iowa:31/North Carolina:1/South Carolina:1/,40,2,1
Speak: The Graphic Novel,"Anderson, Laurie Halse",,Violence & Abuse,Sexual Content & Profantiy,,10,5,Missouri:1/Virginia:2/Wisconsin:1/Florida:4/Iowa:2/,8,2,1
Feed,"Anderson, M. T.",,Sexual Content & Profantiy,,,10,2,Florida:1/Iowa:9/,10,0,0
Me and Earl and the Dying Girl,"Andrews, Jesse",,Sexual Content & Profantiy,,,42,10,Virginia:2/Florida:10/Iowa:18/South Carolina:1/North Carolina:1/Texas:3/Wyoming:1/Georgia:3/Maine:2/Missouri:1/,32,8,2
The Haters,"Andrews, Jesse",,Sexual Content & Profantiy,,,32,10,Florida:9/Maryland:1/Tennessee:1/Texas:5/Virginia:1/Alaska:1/Iowa:10/Utah:1/Wisconsin:2/Wyoming:1/,19,10,1
I Know Why The Caged Bird Sings,"Angelou, Maya",,Sexual Content & Profantiy,Race/Racism,Violence & Abuse,38,5,Utah:2/Wisconsin:1/Florida:6/Iowa:28/Missouri:1/,35,3,1
Storm and Fury,"Armentrout, Jennifer L.",,Sexual Content & Profantiy,,,13,4,Iowa:2/Texas:1/Utah:1/Florida:9/,5,8,0
Damsel,"Arnold, Elana K.",,Violence & Abuse,Death & Illness,Sexuality/Gender,36,11,Virginia:3/Wisconsin:1/Maine:1/Pennsylvania:1/South Carolina:1/Tennessee:1/Texas:2/Wyoming:1/Florida:8/Iowa:16/Maryland:1/,26,7,2
Red Hood,"Arnold, Elana K.",,Sexual Content & Profantiy,Sexuality/Gender,Violence & Abuse,22,8,Texas:2/Alaska:1/Florida:8/Iowa:7/Maryland:1/New York:1/North Carolina:1/Tennessee:1/,15,7,0
What Girls Are Made Of,"Arnold, Elana K.",,Sexual Content & Profantiy,Religion & Politics,,27,8,Tennessee:1/Texas:4/Utah:1/Virginia:2/Wisconsin:1/Florida:7/Iowa:10/Maryland:1/,18,5,2
Thirteen Reasons Why,"Asher, Jay",,Death & Illness,Sexual Content & Profantiy,,76,8,Georgia:2/Iowa:60/Missouri:1/North Carolina:1/South Carolina:1/Virginia:2/Wisconsin:2/Florida:7/,70,6,1
Oryx and Crake,"Atwood, Margaret",,Sexual Content & Profantiy,,,19,7,Florida:6/Iowa:6/Maryland:1/North Carolina:1/Texas:3/Virginia:1/Wisconsin:1/,15,5,1
The Handmaid's Tale,"Atwood, Margaret",,Sexual Content & Profantiy,Sexuality/Gender,Religion & Politics,67,10,South Carolina:1/Virginia:1/Wisconsin:2/Maryland:1/Missouri:1/Georgia:1/Iowa:45/Texas:3/Alaska:1/Florida:11/,58,7,2
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,Sexual Content & Profantiy,Sexuality/Gender,Religion & Politics,24,8,Wyoming:1/Alaska:1/Florida:7/Idaho:1/Iowa:9/Pennsylvania:1/Tennessee:1/Texas:3/,17,6,0
Fun Home: A Family Tragicomic,"Bechdel, Alison",,Sexuality/Gender,,,10,6,Florida:4/Illinois:1/Iowa:2/Tennessee:1/Texas:1/Wisconsin:1/,6,4,1
"Friday Night Lights: A Town, A Team, and a Dream","Bissinger, H.G.",,Sexual Content & Profantiy,,,11,2,Florida:1/Iowa:10/,11,0,0
Forever...,"Blume, Judy",,Sexual Content & Profantiy,Religion & Politics,,38,9,Iowa:19/South Carolina:1/Virginia:1/Alaska:1/Maine:1/Maryland:1/Texas:3/Utah:1/Florida:10/,30,7,1
Ready or Not,"Cabot, Meg",,Sexual Content & Profantiy,,,11,2,Florida:2/Iowa:9/,11,0,0
This Is Kind of an Epic Love Story,"Callender, Kacen",,Violence & Abuse,Sexuality/Gender,,10,5,Florida:4/Iowa:2/Oregon:1/Texas:2/Utah:1/,3,6,1
Chosen,"Cast, P. C.","Cast, Kristin",Sexual Content & Profantiy,,,13,4,Iowa:3/Texas:1/Virginia:1/Florida:8/,8,5,0
The Perks of Being a Wallflower,"Chbosky, Stephen",,Sexual Content & Profantiy,Sexuality/Gender,Drugs & Alcohol,85,12,Alaska:1/Iowa:55/Pennsylvania:2/Virginia:1/Wisconsin:3/Wyoming:1/Florida:13/Georgia:2/Maryland:1/North Carolina:1/South Carolina:1/Texas:4/,72,11,2
Ready Player One,"Cline, Ernest",,Sexual Content & Profantiy,Drugs & Alcohol,Religion & Politics,10,3,Wisconsin:1/Florida:7/Iowa:2/,9,1,1
