Title,Author,SecondAuthor,Times,NumStates,States,Admin,Formal,Informal
The Poet X,"Acevedo, Elizabeth",,21,6,Pennsylvania:1/Texas:2/Virginia:1/Florida:10/Iowa:6/North Carolina:1/,17,4,0
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,10,5,Virginia:1/Florida:5/Iowa:1/Maryland:1/Texas:2/,5,4,1
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,57,8,Florida:6/Iowa:44/North Carolina:1/South Carolina:1/Texas:1/Utah:1/Virginia:1/Wisconsin:2/,53,4,1
Shout,"Anderson, Laurie Halse",,16,5,Wisconsin:1/Florida:3/Iowa:9/Texas:2/Virginia:1/,13,3,1
Speak,"Anderson, Laurie Halse",,42,6,Texas:2/Wisconsin:1/Florida:6/Iowa:31/North Carolina:1/South Carolina:1/,40,2,1
Speak: The Graphic Novel,"Anderson, Laurie Halse",,10,5,Missouri:1/Virginia:2/Wisconsin:1/Florida:4/Iowa:2/,8,2,1
Feed,"Anderson, M. T.",,10,2,Florida:1/Iowa:9/,10,0,0
Me and Earl and the Dying Girl,"Andrews, Jesse",,42,10,Virginia:2/Florida:10/Iowa:18/South Carolina:1/North Carolina:1/Texas:3/Wyoming:1/Georgia:3/Maine:2/Missouri:1/,32,8,2
The Haters,"Andrews, Jesse",,32,10,Florida:9/Maryland:1/Tennessee:1/Texas:5/Virginia:1/Alaska:1/Iowa:10/Utah:1/Wisconsin:2/Wyoming:1/,19,10,1
I Know Why The Caged Bird Sings,"Angelou, Maya",,38,5,Utah:2/Wisconsin:1/Florida:6/Iowa:28/Missouri:1/,35,3,1
Storm and Fury,"Armentrout, Jennifer L.",,13,4,Iowa:2/Texas:1/Utah:1/Florida:9/,5,8,0
Damsel,"Arnold, Elana K.",,36,11,Virginia:3/Wisconsin:1/Maine:1/Pennsylvania:1/South Carolina:1/Tennessee:1/Texas:2/Wyoming:1/Florida:8/Iowa:16/Maryland:1/,26,7,2
Red Hood,"Arnold, Elana K.",,22,8,Texas:2/Alaska:1/Florida:8/Iowa:7/Maryland:1/New York:1/North Carolina:1/Tennessee:1/,15,7,0
What Girls Are Made Of,"Arnold, Elana K.",,27,8,Tennessee:1/Texas:4/Utah:1/Virginia:2/Wisconsin:1/Florida:7/Iowa:10/Maryland:1/,18,5,2
Thirteen Reasons Why,"Asher, Jay",,76,8,Georgia:2/Iowa:60/Missouri:1/North Carolina:1/South Carolina:1/Virginia:2/Wisconsin:2/Florida:7/,70,6,1
Oryx and Crake,"Atwood, Margaret",,19,7,Florida:6/Iowa:6/Maryland:1/North Carolina:1/Texas:3/Virginia:1/Wisconsin:1/,15,5,1
The Handmaid's Tale,"Atwood, Margaret",,67,10,South Carolina:1/Virginia:1/Wisconsin:2/Maryland:1/Missouri:1/Georgia:1/Iowa:45/Texas:3/Alaska:1/Florida:11/,58,7,2
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,24,8,Wyoming:1/Alaska:1/Florida:7/Idaho:1/Iowa:9/Pennsylvania:1/Tennessee:1/Texas:3/,17,6,0
Fun Home: A Family Tragicomic,"Bechdel, Alison",,10,6,Florida:4/Illinois:1/Iowa:2/Tennessee:1/Texas:1/Wisconsin:1/,6,4,1
"Friday Night Lights: A Town, A Team, and a Dream","Bissinger, H.G.",,11,2,Florida:1/Iowa:10/,11,0,0
Forever...,"Blume, Judy",,38,9,Iowa:19/South Carolina:1/Virginia:1/Alaska:1/Maine:1/Maryland:1/Texas:3/Utah:1/Florida:10/,30,7,1
Ready or Not,"Cabot, Meg",,11,2,Florida:2/Iowa:9/,11,0,0
This Is Kind of an Epic Love Story,"Callender, Kacen",,10,5,Florida:4/Iowa:2/Oregon:1/Texas:2/Utah:1/,3,6,1
Chosen,"Cast, P. C.","Cast, Kristin",13,4,Iowa:3/Texas:1/Virginia:1/Florida:8/,8,5,0
The Perks of Being a Wallflower,"Chbosky, Stephen",,85,12,Alaska:1/Iowa:55/Pennsylvania:2/Virginia:1/Wisconsin:3/Wyoming:1/Florida:13/Georgia:2/Maryland:1/North Carolina:1/South Carolina:1/Texas:4/,72,11,2
Ready Player One,"Cline, Ernest",,10,3,Wisconsin:1/Florida:7/Iowa:2/,9,1,1
Flamer,"Curato, Mike",,22,9,Georgia:3/Iowa:7/Louisiana:1/Texas:3/Wisconsin:1/Wyoming:1/Alaska:1/Florida:4/Tennessee:1/,17,3,3
